-2.032,9.284,4,5,33.557,-12.061,5,4
-2.044,9.284,4,5,33.493,-11.862,5,4
-2.044,9.284,4,5,33.497,-11.73,5,4
-2.049,9.311,4,5,33.464,-12.004,5,4
-2.053,9.316,4,5,33.503,-11.746,5,4
-2.011,9.343,4,5,33.426,-11.823,5,4
-2.014,9.414,4,5,33.567,-11.829,5,4
-2.011,9.368,4,5,33.59,-11.59,5,4
-1.982,9.397,4,5,33.575,-11.751,5,4
-1.961,9.399,4,5,33.606,-11.574,5,4
-1.946,9.399,4,5,33.872,-10.748,5,4
-1.92,9.399,4,5,34.224,-6.682,5,4
-1.924,9.401,5,5,33.892,-2.285,5,4
-1.951,9.401,5,5,33.118,-1.49,5,4
-1.909,9.403,5,5,32.903,-1.482,5,4
-1.91,9.376,5,5,32.835,-1.473,5,4
-1.938,9.349,4,5,32.704,-1.505,5,4
-1.916,9.351,5,5,32.475,-1.414,5,4
-1.907,9.326,5,5,32.481,-1.388,5,4
-1.881,9.325,5,5,32.466,-1.394,5,4
-1.886,9.328,5,5,32.393,-1.416,5,4
-1.886,9.328,5,5,32.363,-1.462,5,4
-1.832,9.327,4,5,32.221,-1.338,5,4
-1.818,9.327,4,5,32.345,-1.393,5,4
-1.827,9.359,5,5,32.254,-1.332,5,4
-1.284,14.507,4,4,32.2,-1.202,5,4
-1.256,14.535,4,5,32.277,-1.403,5,4
-26.671,16.842,4,4,32.337,-1.401,5,4
-12.959,21.159,4,4,32.235,-1.445,5,4
-12.923,21.159,4,5,32.174,-1.553,5,4
-12.95,21.161,4,5,32.183,-1.476,5,4
-1.839,14.979,4,4,32.467,-3.642,5,4
-1.8,14.945,4,5,32.977,-7.481,5,4
-1.846,14.977,4,5,33.166,-9.487,5,4
-1.873,14.977,4,5,33.071,-9.775,5,4
-1.866,14.975,4,5,32.961,-9.834,5,4
-1.405,16.53,4,4,32.961,-9.831,5,4
-1.405,16.53,5,5,32.896,-9.699,5,4
-1.399,16.499,5,5,32.778,-9.545,5,4
